地方法院,縣市,簡易庭,鄉鎮區
臺灣臺北地方法院,臺北市,臺北簡易庭,臺北市中正區、萬華區、大安區、中山區、松山區、信義區
臺灣臺北地方法院,臺北市、新北市,新店簡易庭,臺北市文山區、新北市新店區、坪林區、石碇區、烏來區、深坑區
臺灣士林地方法院,臺北市、新北市,士林簡易庭,臺北市士林區、大同區、北投區、新北市石門區、八里區、淡水區、三芝區
臺灣士林地方法院,臺北市、新北市,內湖簡易庭,臺北市內湖區、南港區、新北市汐止區
臺灣新北地方法院,新北市,板橋簡易庭,新北市板橋區、永和區、中和區、三峽區、鶯歌區、樹林區、土城區
臺灣新北地方法院,新北市,三重簡易庭,新北市三重區、蘆洲區、新莊區、泰山區、五股區、林口區
臺灣基隆地方法院,基隆市、新北市,基隆簡易庭,基隆市、新北市金山區、萬里區、瑞芳區、平溪區、雙溪區、貢寮區
臺灣桃園地方法院,桃園市,桃園簡易庭,桃園市桃園區、龜山區、八德區、大溪區、復興區、大園區、蘆竹區
臺灣桃園地方法院,桃園市,中壢簡易庭,桃園市中壢區、平鎮區、楊梅區、新屋區、龍潭區、觀音區
臺灣新竹地方法院,新竹市,新竹簡易庭,新竹市
臺灣新竹地方法院,新竹縣,竹東簡易庭,新竹縣竹東鎮、芎林鄉、寶山鄉、北埔鎮、峨眉鄉、橫山鄉、五峰鄉、尖石鄉
臺灣新竹地方法院,新竹縣,竹北簡易庭,新竹縣竹北市、湖口鄉、新豐鄉、新埔鎮、關西鎮
臺灣苗栗地方法院,苗栗縣,苗栗簡易庭,苗栗縣
臺灣臺中地方法院,臺中市,臺中簡易庭,臺中市東區、西區、南區、中區、北區、北屯區、西屯區、南屯區、霧峰區、大里區、太平區、烏日區
臺灣臺中地方法院,臺中市,豐原簡易庭,臺中市豐原區、大雅區、潭子區、神岡區、東勢區、石岡區、新社區、和平區
臺灣臺中地方法院,臺中市,沙鹿簡易庭,臺中市清水區、沙鹿區、梧棲區、大甲區、大安區、外埔區、后里區、大肚區、龍井區
臺灣南投地方法院,南投縣,南投簡易庭,南投縣南投市、草屯鎮、中寮鄉、集集鎮、名間鄉、竹山鎮、鹿谷鄉、信義鄉、水里鄉
臺灣南投地方法院,南投縣,埔里簡易庭,南投縣埔里鎮、國姓鄉、仁愛鄉、魚池鄉
臺灣彰化地方法院,彰化縣,彰化簡易庭,彰化縣彰化市、伸港鄉、線西鄉、和美鎮、花壇鄉、芬園鄉、鹿港鎮、福興鄉、秀水鄉
臺灣彰化地方法院,彰化縣,員林簡易庭,彰化縣員林鎮、永靖鄉、溪湖鎮、埔鹽鄉、埔心鄉、大村鄉
臺灣彰化地方法院,彰化縣,北斗簡易庭,彰化縣二林鎮、竹塘鄉、大城鄉、芳苑鄉、北斗鎮、田尾鄉、埤頭鄉、溪州鄉、田中鎮、社頭鄉、二水鄉
臺灣雲林地方法院,雲林縣,虎尾簡易庭,雲林縣虎尾鎮、土庫鎮、褒忠鄉、元長鄉、西螺鎮、二崙鄉、崙背鄉
臺灣雲林地方法院,雲林縣,北港簡易庭,雲林縣臺西鄉、東勢鄉、麥寮鄉、四湖鄉、北港鎮、水林鄉、口湖鄉
臺灣雲林地方法院,雲林縣,斗六簡易庭,雲林縣斗六市、林內鄉、莿桐鄉、斗南鎮、大埤鄉、古坑鄉
臺灣嘉義地方法院,嘉義市、嘉義縣,嘉義簡易庭,嘉義市、嘉義縣民雄鄉、大林鎮、溪口鄉、新港鄉、竹崎鄉、梅山鄉、阿里鄉、水上鄉、中埔鄉、番鄉、大埔鄉
臺灣嘉義地方法院,嘉義縣,朴子簡易庭,嘉義縣朴子鎮、東石鄉、六腳鄉、義竹鄉、布袋鎮、太保市、鹿草鄉
臺灣臺南地方法院,臺南市,臺南簡易庭,臺南市東區、南區、北區、安南區、安平區、中西區、歸仁區、仁德區、關廟區、龍崎區
臺灣臺南地方法院,臺南市,新市簡易庭,臺南市永康區、新市區、新化區、山上區、左鎮區、玉井區、楠西區、南化區、善化區、大內區、安定區
臺灣臺南地方法院,臺南市,柳營簡易庭,臺南市佳里區、西港區、七股區、麻豆區、下營區、六甲區、官田區、學甲區、北門區、將軍區、白河區、東山區、後壁區、鹽水區、柳營區、新營區
臺灣高雄地方法院,高雄市,高雄簡易庭,高雄市鹽埕區、鼓山區、左營區、楠梓區、三民區、新興區、前金區、苓雅區、前鎮區、旗津區、小港區、太平島、東沙島
臺灣高雄地方法院,高雄市,鳳山簡易庭,高雄市鳳山區、大樹區、鳥松區、仁武區、大社區、林園區、大寮區
臺灣高雄地方法院,高雄市,岡山簡易庭,高雄市岡山區、燕巢區、永安區、彌陀區、梓官區、橋頭區、路竹區、阿蓮區、湖內區、茄萣區、田寮區
臺灣高雄地方法院,高雄市,旗山簡易庭,高雄市旗山區、美濃區、內門區、甲仙區、杉林區、六龜區、那瑪夏區、桃源區、茂林區
臺灣屏東地方法院,屏東縣,屏東簡易庭,屏東縣屏東市、長治鄉、麟洛鄉、萬丹鄉、里港鄉、高樹鄉、鹽埔鄉、九如鄉、三地門鄉、霧台鄉
臺灣屏東地方法院,屏東縣,潮州簡易庭,屏東縣潮州鎮、萬巒鄉、竹田鄉、內埔鄉、新埤鄉、泰武鄉、來義鄉、瑪家鄉、東港鎮、林邊鄉、南州鄉、新園鄉、琉球鄉、崁頂鄉、枋寮鄉、佳冬鄉、春日鄉、獅子鄉、坊山鄉、牡丹鄉、恆春鎮、車城鄉、滿州鄉
臺灣臺東地方法院,臺東縣,臺東簡易庭,臺東縣臺東市、綠島鄉、蘭嶼鄉、卑南鄉、關山鎮、池上鄉、鹿野鄉、延平鄉、海端鄉、大武鄉、達仁鄉、太麻里鄉、金峰鄉、成功鎮、東河鄉、長濱鄉
臺灣花蓮地方法院,花蓮縣,花蓮簡易庭,花蓮縣花蓮市、新城鄉、秀林鄉、吉安鄉、壽豐鄉、鳳林鎮、光復鄉、萬榮鄉、豐濱鄉
臺灣花蓮地方法院,花蓮縣,玉里簡易庭,花蓮縣玉里鎮、富里鄉、卓溪鄉、瑞穗鄉
臺灣宜蘭地方法院,宜蘭縣,宜蘭簡易庭,宜蘭縣宜蘭市、員山鄉、礁溪鄉、頭城鎮、壯圍鄉
臺灣宜蘭地方法院,宜蘭縣,羅東簡易庭,宜蘭縣羅東鎮、冬山鄉、五結鄉、蘇澳鄉、南澳鄉、三星鄉、大同鄉
臺灣澎湖地方法院,澎湖縣,馬公簡易庭,澎湖縣馬公市、湖西鄉、白沙鄉、西嶼鄉、七美鄉、望安鄉
福建金門地方法院,金門縣,金城簡易庭,金門縣金城鎮、金湖鎮、金沙鎮、金寧鄉、烈嶼鄉、烏坵鄉
福建連江地方法院,連江縣,連江簡易庭,連江縣南竿鄉、北竿鄉、莒光鄉、東引鄉
